timestamp_EPOCHms,am2320_humidity_%,am2320_temperature_C,bmp388_temperature_C,bmp388_pressure_hPa,bmp388_altitude_m,bno055_acceleration_m/s^2,bno055_euler_angle,bno055_gravity_m/s^2,bno055_gyroscope,bno055_linear_acceleration_m/s^2,bno055_magnetometer_mT,bno055_temperature_C,bno055_quaternion,mcp3008_raw_adc,mcp3008_adc_voltage_V,mcp3008_thermistor_resistance_Ω,mcp3008_thermistor_temperature_C
1582571213.544658,31.0,18.8,18.43722771247849,979.7104134793096,282.3785582303266,"(-0.1, -0.5, 9.4)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.001090830782496456, -0.003272492347489368, -0.001090830782496456)","(0.0, 0.01, -0.38)","(34.1875, -27.25, -65.75)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38720,1.9336232547493706,14498.149601884046,16.170808691873162
1582571219.016387,31.4,20.1,18.42833795165643,979.7705163147074,283.3895584110573,"(-0.08, -0.52, 9.370000000000001)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.0, -0.00545415391248228, 0.0)","(0.0, 0.01, -0.4)","(34.1875, -28.0625, -67.1875)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38528,1.940068665598535,14265.931054911689,16.552260237152097
1582571224.483676,31.4,17.9,18.4416725859046,979.6729695758498,282.3785582303266,"(-0.09, -0.5, 9.38)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.001090830782496456, -0.001090830782496456, 0.0)","(0.02, 0.02, -0.41000000000000003)","(34.5, -27.25, -67.5625)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38592,1.9432913710231172,14381.487406525539,16.36157187413653
1582571229.950502,31.2,17.5,18.43722771247849,979.7104134793096,283.72657988529556,"(-0.08, -0.5, 9.39)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.001090830782496456, -0.002181661564992912, -0.001090830782496456)","(0.0, 0.01, -0.43)","(34.875, -27.6875, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38720,1.949736781872282,14323.571985302302,16.45692501563144
1582571235.417074,31.2,18.2,18.43722771247849,979.7311042972273,282.7155475843623,"(-0.07, -0.5, 9.35)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.0, 0.00545415391248228, -0.002181661564992912)","(0.0, 0.02, -0.4)","(33.75, -27.6875, -66.875)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38784,1.9465140764476996,14439.679283982845,16.266200028265416
1582571240.883404,31.5,18.4,18.43722771247849,979.6916923114288,282.3785582303266,"(-0.07, -0.5, 9.38)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.002181661564992912, -0.003272492347489368, 0.0)","(0.0, 0.02, -0.39)","(34.5, -27.25, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38656,1.9465140764476996,14439.679283982845,16.266200028265416
1582571246.350717,31.2,18.2,18.446117454674095,979.8493404447178,283.21264398224315,"(-0.07, -0.51, 9.39)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.001090830782496456, -0.003272492347489368, -0.001090830782496456)","(0.02, 0.02, -0.39)","(34.1875, -28.0625, -66.0625)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38656,1.949736781872282,14439.679283982845,16.266200028265416
1582571251.816103,30.8,18.2,18.45056231878698,979.6729695758498,283.21264398224315,"(-0.09, -0.51, 9.370000000000001)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.002181661564992912, 0.0, -0.001090830782496456)","(0.0, 0.03, -0.39)","(34.5, -27.25, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38592,1.9432913710231172,14381.487406525539,16.36157187413653
1582571257.281637,31.0,18.4,18.446117454674095,979.7330722290957,282.0247279787264,"(-0.09, -0.49, 9.4)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.001090830782496456, -0.00545415391248228, 0.0)","(0.0, 0.02, -0.39)","(34.875, -27.6875, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38592,1.949736781872282,14381.487406525539,16.36157187413653
1582571262.747009,31.1,18.4,18.446117454674095,979.7123822999619,283.21264398224315,"(-0.1, -0.48, 9.39)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.003272492347489368, -0.003272492347489368, 0.0)","(0.0, 0.03, -0.42)","(33.75, -28.0625, -66.0625)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38592,1.9465140764476996,14381.487406525539,16.36157187413653
