timestamp_EPOCHms,am2320_humidity_%,am2320_temperature_C,bmp388_temperature_C,bmp388_pressure_hPa,bmp388_altitude_m,bno055_acceleration_m/s^2,bno055_euler_angle,bno055_gravity_m/s^2,bno055_gyroscope,bno055_linear_acceleration_m/s^2,bno055_magnetometer_mT,bno055_temperature_C,bno055_quaternion,mcp3008_raw_adc,mcp3008_adc_voltage_V,mcp3008_thermistor_resistance_Ω,mcp3008_thermistor_temperature_C
1582580703.349395,37.4,17.4,18.214978103991598,979.893850068438,283.0795060439576,"(-0.09, -0.52, 9.38)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, 0.001090830782496456, 0.0)","(-0.02, 0.02, -0.39)","(34.1875, -27.6875, -67.5625)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8885053788052186,13432.97457718025,17.98066670000918
1582580708.814809,37.7,17.4,18.21942321024835,979.8461184046346,282.15748564041445,"(-0.1, -0.52, 9.370000000000001)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, -0.00545415391248228, 0.0)","(-0.04, 0.02, -0.37)","(35.5625, -27.25, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8981734950789653,13432.97457718025,17.98066670000918
1582580714.279677,37.8,18.3,18.22386831184849,979.8067236548807,282.0689798910481,"(-0.11, -0.49, 9.38)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, 0.004363323129985824, 0.0)","(-0.02, 0.03, -1.7)","(35.25, -27.6875, -67.875)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8885053788052186,13432.97457718025,17.98066670000918
1582580719.744557,37.6,17.4,18.21942321024835,979.893850068438,281.41258322074214,"(-0.08, -0.5, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, 0.0, -0.001090830782496456)","(-0.04, 0.01, -0.4)","(34.875, -27.25, -66.0625)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8981734950789653,13379.472726624097,18.075820616816998
1582580725.209554,37.8,17.3,18.22831340879202,979.8170751137076,282.40581124621906,"(-0.09, -0.52, 9.38)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.001090830782496456, -0.002181661564992912, 0.0)","(-0.04, 0.01, -0.4)","(34.875, -27.0, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8885053788052186,13432.97457718025,17.98066670000918
1582580730.674394,37.9,17.5,18.22386831184849,979.8751609423406,281.1470569729385,"(-0.1, -0.5, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.002181661564992912, -0.001090830782496456, -0.001090830782496456)","(-0.03, 0.03, -0.39)","(34.5, -27.6875, -67.1875)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8949507896543831,13486.721857864746,17.885507209841705
1582580736.139299,37.8,18.7,18.214978103991598,979.7963721812621,282.4230081900704,"(-0.08, -0.49, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, 0.0, 0.0)","(-0.02, 0.02, -0.38)","(34.875, -27.0, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37568,1.8917280842298008,13649.453285698823,17.599987673473436
1582580741.604263,37.9,18.9,18.22386831184849,979.815062784227,281.3953492641776,"(-0.09, -0.5, 9.4)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.002181661564992912, -0.002181661564992912, 0.0)","(-0.04, 0.02, -0.37)","(35.25, -27.25, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37696,1.8949507896543831,13379.472726624097,18.075820616816998
1582580747.069314,37.9,18.5,18.22386831184849,979.8834973952617,281.57236329008055,"(-0.1, -0.51, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.002181661564992912, -0.001090830782496456, 0.0)","(-0.03, 0.03, -0.42)","(35.25, -27.0, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37568,1.8917280842298008,13486.721857864746,17.885507209841705
1582580752.534503,37.9,18.0,18.22386831184849,979.8047108811793,281.9976803622053,"(-0.1, -0.49, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, 0.0, -0.001090830782496456)","(-0.04, 0.01, -0.4)","(34.875, -27.6875, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8885053788052186,13379.472726624097,18.075820616816998
